site,name,day,total rainfall (mm),latitude,longitude
TA00047,Bodwesango Senior High School, Bodwesango,2018-05-19,0.06,6.283841667,-1.417355556
TA00048,Asante Akyem Technology Institute,2018-05-15,0,6.653675,-1.166888889
TA00048,Asante Akyem Technology Institute,2018-05-16,0,6.653675,-1.166888889
TA00048,Asante Akyem Technology Institute,2018-05-17,0,6.653675,-1.166888889
TA00048,Asante Akyem Technology Institute,2018-05-18,0,6.653675,-1.166888889
TA00048,Asante Akyem Technology Institute,2018-05-19,0,6.653675,-1.166888889
TA00049,Ofoase Senior HTS,2018-05-15,0,6.396666667,-1.282597222
TA00049,Ofoase Senior HTS,2018-05-16,1.12,6.396666667,-1.282597222
TA00049,Ofoase Senior HTS,2018-05-17,1.07,6.396666667,-1.282597222
TA00049,Ofoase Senior HTS,2018-05-18,0.06,6.396666667,-1.282597222
TA00049,Ofoase Senior HTS,2018-05-19,0,6.396666667,-1.282597222
TA00050,Bompata Presby SHS, Bompata,2018-05-15,0,6.619158333,-1.052630556
TA00050,Bompata Presby SHS, Bompata,2018-05-16,1.08,6.619158333,-1.052630556
TA00050,Bompata Presby SHS, Bompata,2018-05-17,1.07,6.619158333,-1.052630556
TA00050,Bompata Presby SHS, Bompata,2018-05-18,4.46,6.619158333,-1.052630556
TA00050,Bompata Presby SHS, Bompata,2018-05-19,0.06,6.619158333,-1.052630556
TA00098,GMet HQ,2018-05-15,0,5.6511025,-0.1645213
TA00098,GMet HQ,2018-05-16,0,5.6511025,-0.1645213
TA00098,GMet HQ,2018-05-17,33.39,5.6511025,-0.1645213
TA00098,GMet HQ,2018-05-18,0.02,5.6511025,-0.1645213
TA00098,GMet HQ,2018-05-19,0.02,5.6511025,-0.1645213
TA00109,BREMAN ASIKUMA SHS,2018-05-15,0.05,5.5926509,-0.9964172
TA00109,BREMAN ASIKUMA SHS,2018-05-16,0.43,5.5926509,-0.9964172
TA00109,BREMAN ASIKUMA SHS,2018-05-17,4.87,5.5926509,-0.9964172
TA00109,BREMAN ASIKUMA SHS,2018-05-18,0.04,5.5926509,-0.9964172
TA00109,BREMAN ASIKUMA SHS,2018-05-19,0.06,5.5926509,-0.9964172
TA00110,FOSO COLLEGE OF EDUCATION,2018-05-15,0,5.6826423,-1.2650179
TA00110,FOSO COLLEGE OF EDUCATION,2018-05-16,0,5.6826423,-1.2650179
TA00110,FOSO COLLEGE OF EDUCATION,2018-05-17,24.63,5.6826423,-1.2650179
TA00110,FOSO COLLEGE OF EDUCATION,2018-05-18,0.02,5.6826423,-1.2650179
TA00110,FOSO COLLEGE OF EDUCATION,2018-05-19,0.45,5.6826423,-1.2650179
TA00111,HOHOE E.P. SHS,2018-05-15,0,7.1700372,0.4687968
TA00111,HOHOE E.P. SHS,2018-05-16,0.02,7.1700372,0.4687968
TA00111,HOHOE E.P. SHS,2018-05-17,13.64,7.1700372,0.4687968
TA00111,HOHOE E.P. SHS,2018-05-18,0.02,7.1700372,0.4687968
TA00111,HOHOE E.P. SHS,2018-05-19,0,7.1700372,0.4687968
TA00112,OTI SENIOR HIGH TECH.,2018-05-15,0,8.049376,0.191168
TA00112,OTI SENIOR HIGH TECH.,2018-05-16,0,8.049376,0.191168
TA00112,OTI SENIOR HIGH TECH.,2018-05-17,0.95,8.049376,0.191168
TA00112,OTI SENIOR HIGH TECH.,2018-05-18,0.06,8.049376,0.191168
TA00112,OTI SENIOR HIGH TECH.,2018-05-19,0,8.049376,0.191168
TA00113,NKWANTA SHS,2018-05-15,0,8.2711238,0.5152645
TA00113,NKWANTA SHS,2018-05-16,0.02,8.2711238,0.5152645
